Sexo Masa Per_abdo Long_pie Long_man Estatura
Hom 62.1 81.4 26.2 18.6 169
Hom 83.7 101.3 23.6 17.4 160.3
Hom 76.5 82.2 26.5 18.5 171.3
Hom 80.9 94 25 18.5 168.5
Hom 64.2 74.2 24.1 18.6 168.8
Hom 58.9 78 26.8 20.2 174.5
Hom 87.8 96 25 19.1 176
Hom 71.4 92 25.1 18.8 160.4
Hom 55.4 72.2 23.4 18.6 172
Hom 67.2 77.3 26 18.2 171.4
Hom 78.7 86.6 26.4 19.3 178.1
Hom 51 73.6 24.2 18 162
Hom 85.7 91.8 27 19.7 179.1
Hom 58 68.2 25.5 18.8 171.6
Hom 63 75.1 26 18.7 167
Hom 75 83.1 27.3 18.9 176.3
Hom 58.3 73 25.2 18.7 165.4
Hom 65.6 78.1 24.1 17.6 170.8
Hom 55.5 70.9 26.5 19.4 172.4
Hom 64.2 79.6 26.3 19.7 169
Hom 63.1 76.5 24 18.2 168
Hom 64.3 78.6 24.1 17.7 164.4
Hom 60.4 78.6 24.6 18.4 167
Hom 54.1 77.1 23.3 18.1 156.5
Hom 64.6 78 28 20.1 176.2
Hom 64.5 74.1 25.9 18.4 178.3
Hom 62.8 71.6 24.9 18.1 169.5
Hom 60.6 75.7 24.3 17.5 167.2
Hom 54.5 72.1 24.2 17.2 165.1
Hom 66 73.3 25.9 20 176.4
Hom 61.3 80.3 23.3 17.5 157.1
Hom 57.9 72.4 24.1 17.4 163.6
Hom 68.1 77.8 24.6 18.6 172.1
Hom 72.7 79.1 26.5 19.4 176
Hom 56.8 68.2 24.3 19.2 166.9
Hom 56 74.5 25.1 18.4 165
Hom 78.6 84.5 26 19.5 167.9
Hom 61.3 79.8 24.5 17 161.5
Hom 80.7 91.3 25.2 17.4 170.7
Hom 74.6 76.2 27.2 18.5 181.2
Hom 63.1 77.1 24.2 17.9 167.8
Hom 81.2 85 26.2 20 174.1
Hom 80.6 88.3 24.5 18.5 166
Hom 51 70.3 24.1 18.7 168.6
Hom 70.8 78.6 25.5 19.6 167.7
Hom 78.8 82.6 25.3 18.8 169.5
Hom 72.9 79.5 25.2 19.2 170.4
Hom 68.7 76.9 26.7 18.7 172.4
Hom 63.6 83.2 24.2 17.9 167.5
Hom 59.2 76.3 24.6 19.1 163.6
Hom 65.9 83.4 24.6 18.5 166.1
Hom 61.4 75.2 25.5 19.1 167.6
Hom 71 91.6 25.8 18.2 165
Hom 58.9 70.5 25.8 18.2 170.2
Hom 82.7 100 24.5 18.3 157.5
Hom 78.6 82.9 27.7 19.9 183.4
Hom 62.5 83.6 23.6 17.4 164.4
Hom 79 91.1 26.4 18.5 172.5
Hom 68.3 75.1 26.8 19.3 181.4
Hom 71 82.4 25 18.9 173.2
Hom 72.5 92.6 24.8 18.3 167.9
Hom 57.5 76.9 25.6 19.3 170.6
Hom 54.4 81.1 23.4 18 154.4
Hom 69.2 85.1 24.4 18.3 174.4
Hom 66.3 78.7 25.8 19.9 177.5
Hom 86.6 98.1 25.3 19.2 168.6
Hom 61.6 78.7 24 17.7 161
Hom 79.5 94.6 25.1 18.5 170.6
Hom 54.4 79.8 24.3 18 164.1
Hom 76.8 91.9 26.5 19.6 169.4
Hom 87.9 89.3 27.5 20 178.2
Hom 69.9 90.7 23.6 17.7 162.1
Hom 80 88.1 25.1 18.8 174.5
Hom 77.8 87.6 26 18.6 172
Hom 74.8 86 26.6 19.3 174.4
Hom 70.4 90.5 25.7 18.1 171
Hom 63.7 82.1 25.9 18.9 168.5
Hom 70.2 75.7 26.3 18 177.3
Hom 67.9 87.2 24.4 18.1 168.2
Hom 65.3 80.2 24.3 17.6 168.5
Hom 54.6 67 25.3 19 178.3
Hom 80.3 86.8 27.9 19.4 179.2
Hom 71.5 88.4 25.6 18.6 169.9
Hom 64.5 84.6 24.1 18.3 166.2
Hom 77.7 102.5 24.3 18.9 165.6
Hom 69.7 94.4 23.5 16.6 157.1
Hom 55.1 79 21.9 16 151.4
Hom 87.8 108 24.2 18.2 165.5
Hom 61.1 80.9 22.8 16.5 154.4
Hom 71.2 89.5 25.1 18.7 168.2
Hom 56.6 75.6 25 18.4 167.5
Hom 56.6 75.6 25 18.4 167.5
Hom 75 87 28.1 20.5 173.5
Hom 73.8 89.1 24.7 19 173.7
Hom 78.1 94.3 26.7 20.2 169.9
Hom 72.4 93 25.2 18.2 161.1
Hom 57.1 73.1 25.1 17.3 165.8
Hom 78.2 84 26.5 19.3 178.7
Hom 59.9 75.9 23.8 17.3 164.8
Hom 79.7 95.9 26.1 18.8 174.3
Hom 89.8 92.4 26.2 18.7 176.3
Hom 78.6 92 24.3 18.9 169.5
Hom 61.7 73.6 27.8 19.2 180.9
Hom 81.9 92.3 26.3 19.1 170.8
Hom 71.1 89.5 24.9 18.6 164.4
Hom 79.7 88.7 26.2 19 172.4
Hom 61.3 72.5 25.4 18.2 166.8
Hom 67.1 89.5 22 16.4 160.8
Hom 80.2 86.3 26.2 19.6 174.4
Hom 67.6 80.9 25.1 17.6 168.3
Hom 62.9 81.1 23.9 18.1 163.8
Hom 47.6 66.8 23.2 17.2 161.3
Hom 67.7 83.3 24.5 18.3 164.3
Hom 71.9 90.9 24.4 19.1 170.4
Hom 66.8 75.8 25.1 19.1 172.1
Hom 78.2 81.5 24.8 17.8 171.6
Hom 68.8 80.4 26 18 169.5
Hom 76.8 86.3 26.8 19.2 170
Hom 75.6 86.8 25.3 17.3 170.5
Hom 54.5 72.6 23.9 17.2 160.4
Hom 69 84.1 25 17.2 165
Hom 65.7 87.7 24.3 16.6 157.3
Hom 53.4 78.8 21.9 16.2 152.6
Hom 68.2 83.9 24.2 18.3 167.5
Hom 75.6 85.8 25 18.2 167.3
